figure_id,country
74,China
74,Hong Kong
92,China
92,Hong Kong
96,China
96,Hong Kong
121,China
121,Hong Kong
170,China
170,Hong Kong
173,China
173,Hong Kong
175,China
175,Hong Kong
183,China
183,Hong Kong
184,China
184,Hong Kong
185,China
185,Hong Kong
186,China
186,Hong Kong
188,China
188,Hong Kong
189,China
189,Hong Kong
190,China
190,Hong Kong
192,China
192,Hong Kong
193,China
193,Hong Kong
195,China
195,Hong Kong
196,China
196,Hong Kong
200,China
200,Hong Kong
203,China
203,Hong Kong
204,China
204,Hong Kong
206,China
206,Hong Kong
207,China
207,Hong Kong
208,China
208,Hong Kong
210,China
210,Hong Kong
211,China
211,Hong Kong
215,China
215,Hong Kong
216,China
216,Hong Kong
217,China
217,Hong Kong
220,China
220,Hong Kong
222,China
222,Hong Kong
223,China
223,Hong Kong
227,China
227,Hong Kong
228,China
228,Hong Kong
229,China
229,Hong Kong
82,China
82,Hong Kong
236,China
236,Hong Kong
245,China
245,Hong Kong
247,China
247,Hong Kong
248,China
248,Hong Kong
251,China
251,Hong Kong
254,China
254,Hong Kong
255,China
255,Hong Kong
375,China
375,Indonesia
472,China
472,Indonesia
486,China
486,Indonesia
487,China
487,Indonesia
493,China
493,Indonesia
497,China
497,Indonesia
500,China
500,Indonesia
503,China
503,Indonesia
506,China
506,Indonesia
517,China
517,Indonesia
522,China
522,Indonesia
